codigo,nombre,i_2014,i_2015,i_2016,i_2017,i_2018,i_2019,i_2021,i_2022,i_2023,Shape_Length
1,Popular,31.55,14.19,23.46,27.74,24.77,22.41,25.24,17.91,27.68,9604.448561523164
2,Santa Cruz,23.34,17.92,23.05,25.11,22.44,16.66,21.63,11.24,24.37,8597.294373605435
3,Manrique,18.86,20.84,17.95,24.63,23.07,17.84,16.23,12.85,23.41,12077.5591324662
4,Aranjuez,17.2,16.16,15.86,19.65,13.52,13.94,11.34,9.15,13.3,9642.676543479753
5,Castilla,9.47,9.72,4.9,11.32,10.95,7.54,5.78,5.1,12.45,16098.03210800692
6,Doce de Octubre,16.7,18.46,10.95,14.4,16.6,13.28,13.57,14.62,10.01,10709.846407300312
7,Robledo,11.97,14.67,10.07,14.58,13.24,8.93,10.75,10.58,10.32,23265.233431348748
8,Villa Hermosa,17.71,16.4,21.92,20.28,15.71,17.48,16.29,13.36,15.54,16392.858844819497
9,Buenos Aires,11.97,8.96,9.78,11.92,4.37,9.4,8.52,10.09,7.35,18364.90299510415
10,La Candelaria,6.26,8.1,7.54,11.51,8.4,9.83,11.11,7.74,5.55,13632.701394923217
11,Laureles Estadio,2.18,2.35,2.96,1.55,2.31,1.6,4.85,0.89,3.28,16365.175496146
12,La América,4.7,2.51,2.98,4.68,4.56,2.86,4.92,0.91,1.29,15425.495027124887
13,San Javier,15.96,18.15,15.94,13.45,12.81,12.41,18.64,12.61,12.73,26384.22054676626
14,El Poblado,1.15,1.13,1.48,0.82,1.59,0.37,2.97,1.12,2.35,19965.6870591178
15,Guayabal,6.32,11.8,11.0,11.23,5.02,7.99,11.1,6.51,5.64,13279.243204644288
16,Belén,5.01,4.7,6.02,8.09,4.34,6.65,11.52,5.55,4.97,25695.01663420784
50,San Sebastián de Palmitas,30.7,39.96,21.34,17.13,17.76,20.5,19.24,14.97,16.47,38399.21195236707
60,San Cristóbal,19.82,18.83,16.13,17.42,18.78,16.31,21.22,14.06,12.77,51162.61742571545
70,Altavista,21.59,24.98,15.84,15.64,20.66,22.9,19.16,4.19,14.82,35012.58288575261
80,San Antonio de Prado,7.68,11.48,10.07,14.55,5.73,5.44,15.77,8.29,13.4,40472.28393637327
90,Santa Elena,31.87,23.83,25.4,21.07,22.78,16.71,13.81,23.2,18.16,66527.05396435653
