year,terminal,llegada_nac,llegada_inter
2007,567990.0,1254072,277155
2008,646310.0,1306124,289813
2009,675044.0,1373038,365060
2010,696466.0,1731119,404245
2011,722031.0,1825062,403104
2012,719683.0,2363999,452605
2013,705873.0,3030240,528032
2014,739249.0,3006082,593717
2015,778860.0,3180807,675417
2016,783338.0,3431924,773123
2017,811556.0,3400662,781905
2018,0.0,3561193,883822
2019,0.0,4047701,973807
2020,0.0,1412718,302843
2021,0.0,3540661,765563
2022,0.0,5265287,1307401
2023,0.0,832759,224222
