codigo,areas_publ,areas_publ_normalizados
01,129913.21,0.07013014538067211
02,91871.51,0.049173976295985154
03,139897.99,0.0756304973090402
04,404399.41,0.22133735269825255
05,685367.43,0.37611522367956274
06,379975.2,0.20788269965909023
07,1817904.46,1.0000000000000002
08,429970.77,0.2354239404134546
09,562794.62,0.3085930958160548
10,544746.1,0.29865064222306725
11,535430.24,0.2935187806782553
12,202733.66,0.1102450104635415
13,417926.38,0.22878900366346935
14,479111.57,0.262494310921523
16,779424.31,0.42792867788529254
50,3086.81,0.00026482698527595795
60,465923.89,0.25522956586768086
70,69850.62,0.037043248851226056
90,1273689.93,0.7002065704470768
SN02,2606.07,0.0
80,427836.25,0.23424808964877672
SN01,2606.07,0.0
15,320802.93,0.17528625693321967
