periodo,codigo,servicio,suscriptores,suscriptores_normalizados
2018,1,Aseo,5855.0,0.47719834169757797
2018,2,Aseo,4961.25,0.4040680231289548
2018,3,Aseo,6151.6,0.5014673794457779
2018,4,Aseo,7892.0,0.6438740999345407
2018,5,Aseo,7251.25,0.5914452869299586
2018,6,Aseo,9334.5,0.7619054113026401
2018,7,Aseo,9806.2,0.8005018546803404
2018,8,Aseo,8468.5,0.6910457124154483
2018,9,Aseo,7126.333333333333,0.5812240890246563
2018,10,Aseo,6143.4,0.5007964215579315
2018,11,Aseo,7469.166666666667,0.6092761291730308
2018,12,Aseo,6330.333333333333,0.5160920794239581
2018,13,Aseo,7915.2,0.64577241981235
2018,14,Aseo,9831.666666666666,0.8025856425921885
2018,15,Aseo,3418.0,0.2777929303949378
2018,16,Aseo,12244.333333333334,1.0
2018,50,Aseo,23.0,0.0
2018,60,Aseo,5528.6,0.4504909447959851
2018,70,Aseo,1597.2,0.12880754963997382
2018,80,Aseo,6066.8,0.4945286929958542
2018,90,Aseo,260.6666666666667,0.01944686886319005
